lastname,email,phonenumber1,phonenumber2,comment,,,,
Bezos,jeff@amazon.com,+370 (602) 45678,8 (602) 47878,loves reading,,,,
Schmidt,eric@gmail.com,+967 125 47896,8 156 12314,ask him anything,,,,
Hamilton,julian@thepresets.com,812378654,+370 (125) 78547,this boy’s in love,,,,
Eno,brian@music.com,+370 (601) 45647,+372 (789) 85496,likes ambient atmosphere,,,,
Dreijer,karin@feverray.com,+96712547326,+37012541456,"has been busy, working like crazy",,,,
Moyes,kim@thepresets.com,8 123 75254,8 653 78654,has made something good,,,,
Parker,kevin@tameimpala.com,+370 (601) 45748,+370 (601) 46377,the less he knows the better,,,,
Cook,tim@apple.com,+370 (602) 78978,+370 (602) 32176,"is concerned about privacy, like a lot",,,,
O,karen@yahyeahyeahs.com,8 415 75254,8 984 75352,writes good OST’s,,,,
Gates,bill@microsoft.com,+967 964 47741,+967 145 85431,can afford it,,,,
Musk,elon@spacex.com,+370 (603) 78412,+370 (603) 74136,lives in a simulation,,,,
Boucher,claire@grimes.com,8 715 75254,8 635 71474,lives in Canada,,,,
